#Read this file to know where the meshes are placed
#mesh index posx/posy/posz rotation
#quad index posx/posy/posz width/height

#Sea house
m 1 600/20/470 90/0

#House wall
m 2 600/20/470 90/0

#Dock
m 3 605/-5/535 90/0

#Palm Trees
q 1 266/30/626 20/30
q 1 372/30/690 20/30
q 1 404/30/555 20/30
q 1 254/30/446 20/30
q 1 218/30/734 20/30
q 1 317/30/763 20/30
q 1 382/30/785 20/30
q 1 467/30/640 20/30
q 1 215/30/551 20/30
q 1 325/30/506 20/30
q 1 292/30/313 20/30
q 1 335/30/395 20/30
q 1 430/30/455 20/30
q 1 403/30/356 20/30
q 1 343/30/592 20/30

#Palm Cocos Trees
q 2 305/30/697 20/30
q 2 400/30/700 20/30

#Bottles
q 3 490/21/460 4/4
q 3 500/21/400 4/4
q 3 510/21/500 4/4

#Chest
q 4 375/21/234 5/5

#Tent
q 5 580/23/290 10/10

#Cartell
q 6 722/23/328 10/10

#Rocks
q 7 602/21/293 8/8
q 7 602/21/323 8/8
q 7 602/21/353 8/8
q 7 632/21/323 8/8
q 7 632/21/353 8/8
q 7 632/21/383 8/8
q 7 662/21/293 8/8
q 7 692/21/293 8/8
q 7 692/21/323 8/8
